,State,City,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson,state_abbr
54,Florida,Orlando,259675,901,5.8,64.3,238.8,592.3,6359.9,1287.0,4691.2,381.6,21.2,fl
55,Pennsylvania,Philadelphia,1559062,1021,15.9,77.4,447.1,481.1,3387.7,621.8,2398.5,367.4,25.6,pa
56,Arizona,Phoenix,1529852,572,7.5,65.8,193.0,305.7,3724.3,935.8,2317.9,470.6,20.5,az
57,Pennsylvania,Pittsburgh,307613,798,22.4,29.6,320.5,425.5,3212.8,692.1,2326.6,194.1,62.4,pa
58,Texas,Plano,277822,165,1.4,28.8,56.2,78.8,1974.6,296.6,1572.6,105.5,8.3,tx
59,Oregon,Portland,615672,473,4.2,42.6,137.6,288.5,5234.8,673.4,4013.0,548.3,27.0,or
60,North Carolina,Raleigh,428993,392,2.8,18.4,141.0,230.1,3063.0,735.9,2162.7,164.3,12.6,nc
61,California,Riverside,319453,433,3.8,44.8,138.0,246.7,3087.8,479.3,2126.8,481.8,27.5,ca
62,California,Sacramento,482767,615,5.8,16.2,207.1,385.7,3123.2,670.7,1956.0,496.5,35.0,ca
63,Texas,San Antonio,1428465,539,7.2,75.4,124.4,332.3,5417.8,864.1,4053.9,499.8,20.9,tx
64,California,San Diego,1368690,381,2.3,27.1,96.3,255.2,1959.0,373.7,1219.5,365.8,15.3,ca
65,California,San Francisco,850294,795,5.3,41.8,379.2,368.9,5303.2,615.9,3966.9,720.5,28.3,ca
66,California,San Jose,1009679,321,3.2,30.3,106.2,181.4,2434.1,511.7,1173.6,748.8,12.2,ca
67,California,Santa Ana,336462,375,5.3,34.2,134.3,200.6,1719.1,235.7,1095.2,388.2,6.2,ca
68,Washington,Seattle,663410,603,3.9,23.2,236.2,339.8,6127.3,1070.1,4226.0,831.2,11.9,wa
69,Missouri,St. Louis,318574,1679,49.9,87.6,490.3,1050.9,6252.6,1321.2,3912.1,1019.2,59.6,mo
70,Minnesota,St. Paul,297984,663,3.7,60.7,219.5,378.5,3484.4,781.9,2028.6,673.9,39.9,mn
71,Florida,St. Petersburg,250772,865,7.6,61.4,246.8,549.1,5642.6,1041.6,4043.1,557.9,17.5,fl
72,California,Stockton,299519,1332,16.4,44.7,366.6,903.8,4389.7,1043.0,2698.3,648.4,25.4,ca
73,Florida,Tampa,357124,582,7.8,17.4,143.9,413.3,2427.7,509.6,1779.5,138.6,12.0,fl
74,Ohio,Toledo,281150,1091,8.5,82.2,335.8,664.8,2427.7,1668.5,1779.5,337.5,30.0,oh
75,Arizona,Tucson,525486,641,8.9,41.1,190.7,400.2,6581.9,943.3,5221.8,416.8,28.7,az
76,Oklahoma,Tulsa,399556,805,11.5,78.3,230.3,485.0,5081.6,1376.5,3127.0,578.1,34.5,ok
77,Virginia,Virginia Beach,451102,146,3.8,23.7,55.9,63.0,2174.9,232.8,1861.2,80.9,13.3,va
78,District of Columbia,Washington,658893,1185,15.9,71.3,490.4,607.7,5012.5,525.6,3928.0,559.0,13.3,dc
79,Kansas,Wichita,386486,793,3.9,63.1,121.1,604.9,5382.3,1017.6,3851.4,513.3,29.2,ks
