FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_ejer,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,wkb_geometry
cykelstativ.1,6450,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (12.559911715583818 55.671311681209716)
cykelstativ.2,6451,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (12.559765094348961 55.67128132114395)
cykelstativ.3,7176,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553918250884836 55.671839790851955)
cykelstativ.4,4569,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.5552785558673 55.669617247672996)
cykelstativ.5,6020,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2016-05-30T12:45:44.181,2018-08-09T11:04:28.195,,,,,2,POINT (12.555136731580015 55.66983957166716)
cykelstativ.6,6877,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (12.55507404813306 55.66992956454931)
cykelstativ.7,7174,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553729150827516 55.672336909066914)
cykelstativ.8,7175,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553772322504214 55.672175789747186)
cykelstativ.9,6550,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-02T15:08:53.389,2018-08-09T11:04:28.195,,,,,2,POINT (12.585007618156258 55.68597954847746)
cykelstativ.10,4909,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.584216110826228 55.68492337861538)
cykelstativ.11,4910,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.584094814937504 55.684768638812265)
cykelstativ.12,4911,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.583679587460797 55.68430472622817)
cykelstativ.13,4912,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.58354917353634 55.68412464335517)
cykelstativ.14,6551,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,Privat,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (12.585216730802435 55.68608462732526)
cykelstativ.15,6552,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,Privat,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (12.585306828544947 55.68617895842499)
cykelstativ.16,6593,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,48,Ikke registreret,Offentligt, ,2x12+24 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.583328242333469 55.68385721321517)
cykelstativ.17,6592,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,24,Ikke registreret,Offentligt, ,2x12 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.58319262288323 55.68369458792226)
cykelstativ.18,6588,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,10,Ikke registreret,Offentligt, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.582566024665473 55.68280380319052)
cykelstativ.19,6590,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,35,Ikke registreret,Offentligt, ,2x10+15,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.582672420170843 55.682929237032226)
cykelstativ.20,439,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.585833683833766 55.68658902775364)
cykelstativ.21,441,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.585921060003491 55.68668878010436)
cykelstativ.22,6589,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,12,Ikke registreret,Offentligt, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.582371169538636 55.68238286161998)
cykelstativ.23,6591,0024,Adelgade,0,Indre By,Ikke registreret,Tæt på facade,Enkeltsidet,Ikke registreret,15,Ikke registreret,Offentligt, ,,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.583110954402 55.683138510222136)
cykelstativ.24,6553,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,10,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-02T15:14:21.202,2018-08-09T11:04:28.195,,,,,2,POINT (12.586172879035182 55.68674493021365)
cykelstativ.25,6871,0028,Admiralgade,0,Indre By,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,12,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (12.582844179909998 55.67701179535945)
cykelstativ.26,6644,0028,Admiralgade,0,Indre By,Ikke registreret,På fortovsudvidelse,Ikke registreret,Ikke registreret,12,Ikke registreret,Offentligt, ,,Digitaliseret manuelt,2017-02-07T12:10:05.163,2018-08-09T11:04:28.195,,,,,2,
cykelstativ.27,106,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Privat, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.582544869640516 55.67716481398457)
cykelstativ.28,105,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Privat, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (12.58262070875268 55.67708850129492)
cykelstativ.29,7075,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (12.587606376138519 55.69853094195134)
cykelstativ.30,3107,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587062485988527 55.69929017123663)
cykelstativ.31,3109,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.586859321211278 55.699262428595844)
cykelstativ.32,3110,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.586907239257174 55.699193661464314)
cykelstativ.4568,47,7064,Studiestræde,0,Indre By,NO,På plads,Dobbeltsidet,Skråt 45 grader,30,Ikke registreret,Offentligt, ,,Ikke registreret,2001-08-08T00:00:00,2018-08-09T11:04:28.195,,,,,2,
cykelstativ.33,3111,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,14,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.586970531898805 55.69911525769622)
cykelstativ.34,3112,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,9,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587027868135227 55.699030904193016)
cykelstativ.35,3113,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587100859111864 55.69893996729465)
cykelstativ.36,3108,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,31,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587015068909405 55.699353635695736)
cykelstativ.37,3413,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587567186275322 55.69828566985744)
cykelstativ.38,3414,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587557741404368 55.69829423260679)
cykelstativ.39,3415,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587538551507652 55.69832054951244)
cykelstativ.40,3416,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.58752057557034 55.69834739168893)
cykelstativ.41,3417,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587493308174519 55.698389171569175)
cykelstativ.42,3418,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587451333193606 55.6984401628666)
cykelstativ.43,3419,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587410698904142 55.69850575335989)
cykelstativ.44,3420,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587371738811418 55.6985670583097)
cykelstativ.45,3421,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587361079981058 55.69857898446028)
cykelstativ.46,3422,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.58735350273995 55.698592479753486)
cykelstativ.47,3423,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587345778756498 55.69860432086027)
cykelstativ.48,3424,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.58733133130557 55.69862299549117)
cykelstativ.49,3425,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587322213269852 55.69863570704694)
cykelstativ.50,3106,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.587098767829326 55.69923427060686)
cykelstativ.51,7073,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,26,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-12T17:35:37.352,2018-08-09T11:04:28.195,,,,,2,POINT (12.587744224397708 55.69834716290227)
cykelstativ.52,7074,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,22,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (12.587663433286535 55.69845470309393)
cykelstativ.53,363,0060,Ahlefeldtsgade,0,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.56663464049147 55.682894503284956)
cykelstativ.54,7766,0060,Ahlefeldtsgade,,Indre By,Noli,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2018-07-06T12:58:58.871,2018-08-09T11:04:28.195,,fase 3,,,2,POINT (12.565347724021262 55.68348711414528)
cykelstativ.55,360,0060,Ahlefeldtsgade,0,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-08-06T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.565681755359273 55.6833560077001)
cykelstativ.56,6882,0060,Ahlefeldtsgade,0,Indre By,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,12,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (12.56657501400857 55.68292341984134)
cykelstativ.57,7509,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-06-14T14:29:56.96,2018-08-09T11:04:28.195,,,,,2,POINT (12.54323681749668 55.68714983280259)
cykelstativ.58,7510,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-06-14T14:29:56.959,2018-08-09T11:04:28.195,,,,,2,POINT (12.543324306239857 55.68711310329611)
cykelstativ.59,7511,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-06-14T14:29:56.959,2018-08-09T11:04:28.195,,,,,2,POINT (12.5437910881067 55.68742064538204)
cykelstativ.60,1306,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,6,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.559058423622215 55.69160237312767)
cykelstativ.61,1309,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,6,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.55902765442043 55.69158414039136)
cykelstativ.62,1302,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,22,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.559712694379664 55.69190078035672)
cykelstativ.63,1301,0068,Ahornsgade,0,Nørrebro,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.560525473550602 55.69190873112351)
cykelstativ.64,1248,0074,Aksel Larsens Plads,0,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.541623732149636 55.698785214163905)
cykelstativ.65,819,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,8,Ikke registreret,Privat,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.560758940537886 55.70652437209896)
cykelstativ.66,818,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,8,Ikke registreret,Privat,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.560615059668194 55.70651266606189)
cykelstativ.67,817,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,20,Ikke registreret,Privat,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.560434886748418 55.70650478199591)
cykelstativ.68,5015,0080,Aldersrogade,0,,NO,Tæt på facade,Dobbeltsidet,Vinkelret,8,Ikke registreret,Privat,,Tilladelse givet 03-11-2011 (eDoc 2011-141651),Digitaliseret manuelt,2012-02-13T08:47:59,2018-08-09T11:04:28.195,,,,,0,POINT (12.546494879014116 55.70551429608821)
cykelstativ.69,5013,0080,Aldersrogade,0,,NO,Tæt på facade,Dobbeltsidet,Vinkelret,8,Ikke registreret,Privat,,Tilladelse givet 03-11-2011 (eDoc 2011-141651),Digitaliseret manuelt,2012-02-13T08:47:59,2018-08-09T11:04:28.195,,,,,0,POINT (12.546681165649098 55.70555395928958)
cykelstativ.70,3242,0080,Aldersrogade,0,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,9,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.547902436862223 55.70565581833336)
cykelstativ.71,814,0080,Aldersrogade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Privat,,,Indmålt med GPS,2001-08-06T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.558666241279552 55.70641706008951)
cykelstativ.72,1438,0080,Aldersrogade,0,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,5,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-30T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.548621427664102 55.70568814750601)
cykelstativ.73,3243,0080,Aldersrogade,0,Nørrebro,Model 32,På fortovsudvidelse,Enkeltsidet,Vinkelret,8,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.548042308997852 55.70571769524467)
cykelstativ.74,3241,0080,Aldersrogade,0,Nørrebro,Model 32,På fortovsudvidelse,Enkeltsidet,Vinkelret,8,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.548321726433883 55.70573048850912)
cykelstativ.75,1184,0088,Allersgade,0,Nørrebro,Andet,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Privat,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.546559884558027 55.69685150023156)
cykelstativ.76,1181,0088,Allersgade,0,Nørrebro,Andet,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.54698018131577 55.69705342103357)
cykelstativ.77,4249,0096,Alsgade,0,Vesterbro-Kongens Enghave,Andet,På facade,Enkeltsidet,Vinkelret,6,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.540051819423539 55.664954606076904)
cykelstativ.78,4248,0096,Alsgade,0,Vesterbro-Kongens Enghave,Andet,På facade,Enkeltsidet,Vinkelret,6,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.540161722770174 55.664936599290336)
cykelstativ.79,1736,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,24,Ikke registreret,Privat,,,Indmålt med GPS,2001-08-22T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.54007516646421 55.66515569061434)
cykelstativ.80,1735,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,14,Ikke registreret,Ikke registreret,,Tvivl om det er KK´s inventar,Indmålt med GPS,2001-08-22T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.540050440763197 55.664942734111065)
cykelstativ.81,5587,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.540401396621887 55.66508770283541)
cykelstativ.82,5589,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.540468347094293 55.665081768296695)
cykelstativ.83,5584,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539923422946925 55.665185679301025)
cykelstativ.84,5583,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539876616281099 55.665195273744224)
cykelstativ.85,5582,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539839316884478 55.66520291936877)
cykelstativ.86,5581,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539793216180604 55.66521236906425)
cykelstativ.87,5580,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539749700177362 55.665221288929274)
cykelstativ.88,5579,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.539712563733444 55.665228901103426)
cykelstativ.89,5578,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.53968636399076 55.66524109110736)
cykelstativ.90,5588,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,3,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.540440303947351 55.665079727392765)
cykelstativ.91,5586,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.540356048774823 55.66509699847277)
cykelstativ.92,5585,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (12.540307556336549 55.66510693868155)
cykelstativ.93,4262,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,8,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.538885622986319 55.665243520910984)
cykelstativ.94,7904,0108,Amagerbrogade,,Amager Vest,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2019-08-05T14:33:32.549,,,,,,2,POINT (12.602637033438805 55.66221182884916)
cykelstativ.95,2769,0108,Amagerbrogade,0,Amager Vest,Noli,På fortov,Enkeltsidet,Vinkelret,2,Ikke registreret,Offentligt,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.605682312377544 55.65978190501853)
cykelstativ.96,2026,0108,Amagerbrogade,0,Amager Øst,NO,På fortov,Enkeltsidet,Vinkelret,15,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-08-21T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.61155800262066 55.65300454591412)
